rank,state_rank,district,state,state_code,headquarters,population,area_sq_km,density_per_sq_km,population_year,source,source_url
674,17,"Ganderbal","Jammu and Kashmir","JK","Ganderbal",297003,1979,151,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
675,33,"Mulugu","Telangana","TG","Mulugu",294671,3881,124,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
676,30,"Mohla-Manpur-Ambagarh Chowki","Chhattisgarh","CG","Mohla",283947,2145,132,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
677,18,"Ramban","Jammu and Kashmir","JK","Ramban",283313,1330,213,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
678,1,"Gangtok","Sikkim","SK","Gangtok",281293,954,295,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
679,8,"Unakoti","Tripura","TR","Kailashahar",277335,591,469,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
680,5,"Churachandpur","Manipur","MN","Churachandpur",271274,2392,50,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
681,5,"West Jaintia Hills","Meghalaya","ML","Jowai",270352,1693,160,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
682,3,"Kohima","Nagaland","NL","Kohima",270063,1041,213,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
683,19,"Shopian","Jammu and Kashmir","JK","Shopian",265960,312,852,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
684,11,"Bageshwar","Uttarakhand","UK","Bageshwar",259840,2310,116,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
685,4,"Mon","Nagaland","NL","Mon",259604,1786,145,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
686,12,"Champawat","Uttarakhand","UK","Champawat",259315,1781,147,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
687,6,"Ri Bhoi","Meghalaya","ML","Nongpoh",258380,2378,109,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
688,33,"Bajali","Assam","AS","Pathsala",253816,418,610,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
689,23,"Kalimpong","West Bengal","WB","Kalimpong",251642,1054,239,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
690,31,"Sukma","Chhattisgarh","CG","Sukma",250159,5897,42,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
691,6,"Bishnupur","Manipur","MN","Bishnupur",240363,496,415,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
692,1,"South Andaman","Andaman and Nicobar Islands","AN","Port Blair",238142,2672,89,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
693,13,"Rudraprayag","Uttarakhand","UK","Rudraprayag",236857,1896,119,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
694,20,"Kishtwar","Jammu and Kashmir","JK","Kishtwar",230696,7737,30,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
695,32,"Bijapur","Chhattisgarh","CG","Bijapur",229832,6562,35,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
696,34,"Dang","Gujarat","GJ","Ahwa",226769,1764,129,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
697,3,"Kushavati","Goa","GA","Quepem",220000,1962,112,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
698,34,"Dima Hasao","Assam","AS","Haflong",213529,4888,44,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
699,2,"Karaikal","Puducherry","PY","Karaikal",200222,157,1275,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
700,7,"Kangpokpi","Manipur","MN","Kangpokpi",193744,1698,110,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
701,5,"Mokokchung","Nagaland","NL","Mokokchung",193171,1615,120,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
702,2,"Daman","Dadra and Nagar Haveli and Daman and Diu","DD","Daman",191173,72,2651,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
703,8,"Ukhrul","Manipur","MN","Ukhrul",183115,2206,31,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
704,1,"Papum Pare","Arunachal Pradesh","AR","Yupia",176385,2875,61,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
705,7,"South West Garo Hills","Meghalaya","ML","Ampati",172495,822,210,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
706,35,"Majuli","Assam","AS","Garamur",167304,880,300,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
707,6,"Wokha","Nagaland","NL","Wokha",166239,1628,120,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
708,7,"Peren","Nagaland","NL","Peren",163294,2300,55,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
709,8,"Phek","Nagaland","NL","Phek",163294,2026,81,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
710,2,"Lunglei","Mizoram","MZ","Lunglei",154094,4572,34,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
711,2,"Changlang","Arunachal Pradesh","AR","Changlang",147951,4662,32,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
712,2,"Namchi","Sikkim","SK","Namchi",146742,750,196,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
713,3,"Lohit","Arunachal Pradesh","AR","Tezu",145538,2402,61,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
714,9,"Chandel","Manipur","MN","Chandel",144028,2100,37,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
715,1,"Kargil","Ladakh","LA","Kargil",143388,14036,10,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
716,8,"South Garo Hills","Meghalaya","ML","Baghmara",142574,1850,77,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
717,11,"New Delhi","Delhi","DL","Connaught Place",142004,22,4057,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
718,9,"Zunheboto","Nagaland","NL","Zunheboto",141014,1255,112,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
719,33,"Narayanpur","Chhattisgarh","CG","Narayanpur",140206,6640,20,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
720,10,"Tamenglong","Manipur","MN","Tamenglong",140143,3315,25,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
721,3,"Gyalshing","Sikkim","SK","Gyalshing",136299,1166,117,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
722,11,"Kakching","Manipur","MN","Kakching",135481,190,710,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
723,2,"Leh","Ladakh","LA","Leh",133487,45110,3,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
724,9,"Eastern West Khasi Hills","Meghalaya","ML","Mairang",131451,1356,97,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
725,10,"Chümoukedima","Nagaland","NL","Chümoukedima",125400,570,220,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
726,3,"Champhai","Mizoram","MZ","Champhai",125370,3168,39,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
727,10,"East Jaintia Hills","Meghalaya","ML","Khliehriat",122436,2115,58,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
728,11,"North Garo Hills","Meghalaya","ML","Resubelpara",118325,1113,106,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
729,4,"Lawngtlai","Mizoram","MZ","Lawngtlai",117444,2519,46,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
730,4,"West Siang","Arunachal Pradesh","AR","Aalo",112272,8325,13,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
731,5,"Tirap","Arunachal Pradesh","AR","Khonsa",111997,2362,47,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
732,12,"South West Khasi Hills","Meghalaya","ML","Mawkyrwat",110152,1341,82,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
733,2,"North and Middle Andaman","Andaman and Nicobar Islands","AN","Mayabunder",105597,3736,28,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
734,6,"East Siang","Arunachal Pradesh","AR","Pasighat",99019,3603,27,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
735,7,"Namsai","Arunachal Pradesh","AR","Namsai",95950,1587,60,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
736,8,"Kurung Kumey","Arunachal Pradesh","AR","Koloriang",89717,6040,15,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
737,9,"West Kameng","Arunachal Pradesh","AR","Bomdila",87013,7422,12,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
738,5,"Mamit","Mizoram","MZ","Mamit",85757,2967,28,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
739,11,"Kinnaur","Himachal Pradesh","HP","Reckong Peo",84298,6401,13,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
740,10,"Upper Subansiri","Arunachal Pradesh","AR","Daporijo",83205,7032,12,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
741,6,"Kolasib","Mizoram","MZ","Kolasib",83054,1386,60,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
742,11,"Lower Subansiri","Arunachal Pradesh","AR","Ziro",82839,3508,24,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
743,12,"East Kameng","Arunachal Pradesh","AR","Seppa",78413,4134,19,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
744,4,"Pakyong","Sikkim","SK","Pakyong",74583,404,180,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
745,11,"Kiphire","Nagaland","NL","Kiphire",74033,1255,66,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
746,7,"Serchhip","Mizoram","MZ","Serchhip",64875,1424,46,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
747,5,"Soreng","Sikkim","SK","Soreng",64760,293,221,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
748,1,"Lakshadweep","Lakshadweep","LD","Kavaratti",64473,30,2149,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
749,12,"Tseminyü","Nagaland","NL","Tseminyü",63629,256,249,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
750,13,"Longding","Arunachal Pradesh","AR","Longding",60000,1200,50,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
