rank,state_rank,district,state,state_code,headquarters,population,area_sq_km,density_per_sq_km,population_year,source,source_url
164,42,"Ambedkar Nagar","Uttar Pradesh","UP","Akbarpur",2398709,2372,1021,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
165,9,"Panchmahal","Gujarat","GJ","Godhra",2388267,5219,458,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
166,43,"Bahraich","Uttar Pradesh","UP","Bahraich",2384239,4926,415,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
167,3,"Sagar","Madhya Pradesh","MP","Sagar",2378295,10252,272,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
168,4,"Bhopal","Madhya Pradesh","MP","Bhopal",2368145,2772,854,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
169,11,"Bikaner","Rajasthan","RJ","Bikaner",2367745,27244,78,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
170,5,"Rewa","Madhya Pradesh","MP","Rewa",2363744,6314,374,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
171,44,"Rampur","Uttar Pradesh","UP","Rampur",2335398,2367,987,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
172,4,"Balasore","Odisha","OD","Balasore",2317419,3634,609,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
173,4,"Gurdaspur","Punjab","PB","Gurdaspur",2299026,3542,649,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
174,10,"Kheda","Gujarat","GJ","Nadiad",2298934,3667,541,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
175,4,"South West Delhi","Delhi","DL","Vasant Vihar",2292958,395,5446,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
176,4,"East Singhbhum","Jharkhand","JH","Jamshedpur",2291032,3562,648,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
177,2,"Prakasam","Andhra Pradesh","AP","Ongole",2288000,14322,160,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
178,3,"Kurnool","Andhra Pradesh","AP","Kurnool",2271700,7980,284,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
179,12,"Erode","Tamil Nadu","TN","Erode",2259608,5714,397,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
180,5,"Khordha","Odisha","OD","Khordha",2251673,2813,800,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
181,5,"North East Delhi","Delhi","DL","Seelampur",2241624,52,36155,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
182,4,"Ananthapuramu","Andhra Pradesh","AP","Ananthapuramu",2241100,10205,219,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
183,6,"Satna","Madhya Pradesh","MP","Satna",2228619,7502,297,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
184,23,"Supaul","Bihar","BR","Supaul",2228397,2410,919,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
185,5,"NTR","Andhra Pradesh","AP","Vijayawada",2218000,3316,668,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
186,45,"Sambhal","Uttar Pradesh","UP","Sambhal",2217020,2453,890,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
187,24,"Nawada","Bihar","BR","Nawada",2216653,2492,889,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
188,46,"Mau","Uttar Pradesh","UP","Mau",2205170,1713,1287,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
189,6,"Tirupati","Andhra Pradesh","AP","Tirupati",2197000,8231,241,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
190,22,"Chandrapur","Maharashtra","MH","Chandrapur",2194262,11443,192,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
191,7,"Srikakulam","Andhra Pradesh","AP","Srikakulam",2191471,4591,477,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
192,7,"Dhar","Madhya Pradesh","MP","Dhar",2184672,8153,268,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
193,5,"Jalandhar","Punjab","PB","Jalandhar",2181753,2625,831,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
194,6,"Bijapur","Karnataka","KA","Bijapur",2175102,10517,207,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
195,13,"Dindigul","Tamil Nadu","TN","Dindigul",2161367,6058,357,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
196,1,"Raipur","Chhattisgarh","CG","Raipur",2160876,2892,750,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
197,11,"Jamnagar","Gujarat","GJ","Jamnagar",2159130,14125,153,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
198,47,"Balrampur","Uttar Pradesh","UP","Balrampur",2149066,3349,642,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
199,12,"Jhunjhunu","Rajasthan","RJ","Jhunjhunu",2139658,5928,361,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
200,12,"Dahod","Gujarat","GJ","Dahod",2126558,3642,582,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
201,9,"Alappuzha","Kerala","KL","Alappuzha",2121943,1415,1501,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
202,14,"Viluppuram","Tamil Nadu","TN","Viluppuram",2093003,3725,562,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
203,8,"Kakinada","Andhra Pradesh","AP","Kakinada",2092300,3019,693,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
204,9,"Guntur","Andhra Pradesh","AP","Guntur",2091000,2443,855,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
205,13,"Kutch","Gujarat","GJ","Bhuj",2090313,45652,46,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
206,8,"Chhindwara","Madhya Pradesh","MP","Chhindwara",2090306,11815,177,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
207,14,"Anand","Gujarat","GJ","Anand",2090276,2942,711,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
208,7,"Dakshina Kannada","Karnataka","KA","Mangalore",2083625,4559,457,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
209,6,"Sundargarh","Odisha","OD","Sundergarh",2080664,9712,214,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
210,10,"Eluru","Andhra Pradesh","AP","Eluru",2071700,6679,310,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
211,5,"Bokaro","Jharkhand","JH","Bokaro",2061918,2883,716,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
212,11,"YSR Kadapa","Andhra Pradesh","AP","Kadapa",2060700,11228,183,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
213,23,"Dhule","Maharashtra","MH","Dhule",2048781,8095,285,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
214,12,"Palnadu","Andhra Pradesh","AP","Narasaraopet",2042000,7298,279,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
215,13,"Churu","Rajasthan","RJ","Churu",2041172,16830,148,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
216,14,"Pali","Rajasthan","RJ","Pali",2038533,12387,165,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
217,48,"Pilibhit","Uttar Pradesh","UP","Pilibhit",2037225,3499,567,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
218,9,"Gwalior","Madhya Pradesh","MP","Gwalior",2030543,5465,445,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
219,25,"Banka","Bihar","BR","Banka",2029339,3018,672,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
220,15,"Mehsana","Gujarat","GJ","Mehsana",2027727,4386,462,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
221,6,"Firozpur","Punjab","PB","Firozpur",2026831,5334,380,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
222,49,"Jhansi","Uttar Pradesh","UP","Jhansi",2000755,5024,398,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
223,26,"Madhepura","Bihar","BR","Madhepura",1994618,1787,1116,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
224,10,"Ujjain","Madhya Pradesh","MP","Ujjain",1986864,6091,356,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
225,10,"Kottayam","Kerala","KL","Kottayam",1979384,2206,896,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
226,15,"Sri Ganganagar","Rajasthan","RJ","Sri Ganganagar",1969520,10990,179,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
227,11,"Morena","Madhya Pradesh","MP","Morena",1965137,4991,394,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
228,2,"Bilaspur","Chhattisgarh","CG","Bilaspur",1961922,3508,460,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
229,13,"Visakhapatnam","Andhra Pradesh","AP","Visakhapatnam",1959500,1048,1869,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
230,24,"Jalna","Maharashtra","MH","Jalna",1958483,7718,255,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
231,50,"Chandauli","Uttar Pradesh","UP","Chandauli",1952713,2554,768,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
232,16,"Kota","Rajasthan","RJ","Kota",1950491,5446,374,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
233,2,"Dhubri","Assam","AS","Dhubri",1948632,2838,687,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
234,15,"Virudhunagar","Tamil Nadu","TN","Virudhunagar",1943309,3446,454,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
235,6,"Palamu","Jharkhand","JH","Daltonganj",1936319,4393,442,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
236,14,"Vizianagaram","Andhra Pradesh","AP","Vizianagaram",1930800,4122,468,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
237,1,"Haridwar","Uttarakhand","UK","Haridwar",1927029,2360,817,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
238,3,"Sonitpur","Assam","AS","Tezpur",1925975,5324,362,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
239,8,"Raichur","Karnataka","KA","Raichur",1924773,6839,228,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
240,16,"Pudukkottai","Tamil Nadu","TN","Pudukkottai",1918725,4651,348,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
241,27,"Saharsa","Bihar","BR","Saharsa",1897102,1702,1125,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
242,9,"Bagalkot","Karnataka","KA","Bagalkote",1890826,6583,288,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
243,51,"Farrukhabad","Uttar Pradesh","UP","Fatehgarh",1887577,2279,865,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
244,17,"Krishnagiri","Tamil Nadu","TN","Krishnagiri",1883731,5086,370,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
245,15,"Chittoor","Andhra Pradesh","AP","Chittoor",1873000,6855,273,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
246,12,"Khargone","Madhya Pradesh","MP","Khargone",1872413,8010,233,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
247,18,"Kanyakumari","Tamil Nadu","TN","Nagercoil",1863178,1685,1106,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
248,52,"Sonbhadra","Uttar Pradesh","UP","Robertsganj",1862612,6788,274,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
249,53,"Mainpuri","Uttar Pradesh","UP","Mainpuri",1847194,2760,670,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
250,10,"Dharwad","Karnataka","KA","Dharwad",1846993,4265,434,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
251,16,"Sri Sathya Sai","Andhra Pradesh","AP","Puttaparthi",1840000,8925,206,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
252,54,"Amroha","Uttar Pradesh","UP","Amroha",1838771,2321,818,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
253,25,"Parbhani","Maharashtra","MH","Parbhani",1835982,6511,295,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
254,17,"East Godavari","Andhra Pradesh","AP","Rajamahendravaram",1832300,2561,715,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
255,17,"Jalore","Rajasthan","RJ","Jalore",1830151,10640,172,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
256,7,"Jajpur","Odisha","OD","Jajpur",1826275,2888,630,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
257,26,"Akola","Maharashtra","MH","Akola",1818617,5429,321,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
258,11,"Mandya","Karnataka","KA","Mandya",1808680,4961,365,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
259,8,"Kendujhar","Odisha","OD","Kendujhar",1802777,8240,217,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
260,55,"Banda","Uttar Pradesh","UP","Banda",1799541,4413,404,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
261,1,"Faridabad","Haryana","HR","Faridabad",1798954,783,2298,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
262,18,"Banswara","Rajasthan","RJ","Banswara",1798194,5037,399,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
263,56,"Kanpur Dehat","Uttar Pradesh","UP","Akbarpur",1795092,3021,594,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
264,18,"Nandyal","Andhra Pradesh","AP","Nandyal",1781800,9682,184,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
265,19,"West Godavari","Andhra Pradesh","AP","Bhimavaram",1780000,2178,817,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
266,19,"Hanumangarh","Rajasthan","RJ","Hanumangarh",1779650,9670,184,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
267,12,"Hassan","Karnataka","KA","Hassan",1776221,6814,261,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
268,13,"Chhatarpur","Madhya Pradesh","MP","Chhatarpur",1762857,8687,203,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
269,57,"Etah","Uttar Pradesh","UP","Etah",1761152,2456,717,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
270,28,"Jamui","Bihar","BR","Jamui",1756078,3099,567,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
271,16,"Surendranagar","Gujarat","GJ","Surendranagar",1755873,10489,167,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
272,13,"Shimoga","Karnataka","KA","Shimoga",1755512,8495,207,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
273,2,"Hisar","Haryana","HR","Hisar",1742815,3788,438,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
274,19,"Thoothukudi","Tamil Nadu","TN","Thoothukudi",1738376,4594,378,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
275,4,"Cachar","Assam","AS","Silchar",1736319,3786,459,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
276,20,"Krishna","Andhra Pradesh","AP","Machilipatnam",1735000,3775,459,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
277,7,"Hazaribag","Jharkhand","JH","Hazaribag",1734495,3555,488,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
278,21,"Anakapalli","Andhra Pradesh","AP","Anakapalli",1727000,4292,402,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
279,14,"Shivpuri","Madhya Pradesh","MP","Shivpuri",1725818,10290,168,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
280,3,"Durg","Chhattisgarh","CG","Durg",1721726,2238,770,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
281,20,"Namakkal","Tamil Nadu","TN","Namakkal",1721179,3429,506,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
282,22,"Dr. B.R. Ambedkar Konaseema","Andhra Pradesh","AP","Amalapuram",1719100,2083,825,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
283,58,"Sant Kabir Nagar","Uttar Pradesh","UP","Khalilabad",1714300,1442,1014,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
284,6,"East Delhi","Delhi","DL","Preet Vihar",1709346,440,27132,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
285,29,"Buxar","Bihar","BR","Buxar",1707643,1624,1003,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
286,15,"Bhind","Madhya Pradesh","MP","Bhind",1703562,4459,382,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
287,17,"Valsad","Gujarat","GJ","Valsad",1703068,3034,561,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
288,16,"Balaghat","Madhya Pradesh","MP","Balaghat",1701156,9229,184,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
289,14,"Bidar","Karnataka","KA","Bidar",1700018,5448,312,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
290,2,"Dehradun","Uttarakhand","UK","Dehradun",1698560,3088,550,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
291,9,"Puri","Odisha","OD","Puri",1697983,3051,488,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
292,23,"Annamayya","Andhra Pradesh","AP","Madanapalle",1697300,7954,213,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
293,5,"Barpeta","Assam","AS","Barpeta",1693622,3245,520,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
294,30,"Kishanganj","Bihar","BR","Kishanganj",1690948,1884,898,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
295,21,"Kallakurichi","Tamil Nadu","TN","Kallakurichi",1682687,3520,478,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
296,59,"Gautam Buddha Nagar","Uttar Pradesh","UP","Noida",1674714,1269,1252,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
297,19,"Dakshin Dinajpur","West Bengal","WB","Balurghat",1670931,2183,753,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
298,60,"Jalaun","Uttar Pradesh","UP","Orai",1670718,4565,366,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
299,22,"Tirunelveli","Tamil Nadu","TN","Tirunelveli",1665253,3842,433,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
300,15,"Chitradurga","Karnataka","KA","Chitradurga",1660378,8437,197,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
301,27,"Osmanabad","Maharashtra","MH","Osmanabad",1660311,7569,219,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
302,61,"Kannauj","Uttar Pradesh","UP","Kannauj",1658005,1993,792,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
303,31,"Khagaria","Bihar","BR","Khagaria",1657599,1486,1115,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
304,7,"Sangrur","Punjab","PB","Sangrur",1654408,3685,449,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
305,10,"Balangir","Odisha","OD","Balangir",1648574,6575,251,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
306,3,"Udham Singh Nagar","Uttarakhand","UK","Rudrapur",1648367,2912,648,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
307,28,"Nandurbar","Maharashtra","MH","Nandurbar",1646177,5055,276,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
308,16,"Davanagere","Karnataka","KA","Davangere",1643494,4460,370,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
309,20,"Dausa","Rajasthan","RJ","Dausa",1637226,3429,476,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
310,4,"Nalgonda","Telangana","TG","Nalgonda",1631399,2449,227,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
311,3,"Bhiwani","Haryana","HR","Bhiwani",1629109,5140,341,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
312,32,"Kaimur","Bihar","BR","Bhabua",1626900,3363,488,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
313,21,"Didwana Kuchaman","Rajasthan","RJ","Didwana",1625837,6803,239,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
314,4,"Janjgir-Champa","Chhattisgarh","CG","Janjgir",1620632,3848,421,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
315,23,"Vellore","Tamil Nadu","TN","Vellore",1614242,2080,776,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
316,24,"Nagapattinam","Tamil Nadu","TN","Nagapattinam",1614069,2716,668,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
317,29,"Ratnagiri","Maharashtra","MH","Ratnagiri",1612672,8208,196,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
318,17,"Haveri","Karnataka","KA","Haveri",1598506,4825,331,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
319,62,"Kaushambi","Uttar Pradesh","UP","Manjhanpur",1596909,1837,897,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
320,20,"Darjeeling","West Bengal","WB","Darjeeling",1595181,2093,762,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
321,24,"Bapatla","Andhra Pradesh","AP","Bapatla",1587000,3829,414,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
322,8,"Hoshiarpur","Punjab","PB","Hoshiarpur",1582793,3397,466,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
323,63,"Etawah","Uttar Pradesh","UP","Etawah",1579160,2287,683,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
324,17,"Betul","Madhya Pradesh","MP","Betul",1575247,10043,157,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
325,11,"Kalahandi","Odisha","OD","Bhawanipatna",1573054,7920,199,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
326,64,"Hathras","Uttar Pradesh","UP","Hathras",1565678,1752,851,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
