rank,city,state,population,population_year,source,source_url,scraped_at
85,Siliguri,West Bengal,513264,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
86,Ulhasnagar,Maharashtra,506098,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
87,Jhansi,Uttar Pradesh,505693,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
88,Sangli-Miraj &amp; Kupwad,Maharashtra,502793,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
89,Jammu,Jammu and Kashmir,502197,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
90,Nellore,Andhra Pradesh,499575,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
91,Mangalore,Karnataka,488968,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
92,Belgaum,Karnataka,488157,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
93,Jamnagar,Gujarat,479920,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
94,Tirunelveli,Tamil Nadu,473637,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
95,Malegaon,Maharashtra,471312,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
96,Gaya,Bihar,468614,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
97,Ambattur,Tamil Nadu,466205,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
98,Jalgaon,Maharashtra,460228,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
